sample	tb_profiler_strain	mixed_strain
ERR502297	lineage4.6.2.2	no
ERR502298	lineage4.6.2.2	no
ERR502299	lineage4.6.2.2	no
ERR502300	lineage4.6.2.2	no
ERR502301	lineage4.6.2.2	no
ERR502302	lineage4.6.2.2	no
ERR502303	lineage4.6.2.2	no
ERR502304	lineage4.6.2.2	no
ERR502305	lineage4.6.2.2	no
ERR502306	lineage4.6.2.2	no
ERR502307	lineage4.6.2.2	no
ERR502308	lineage4.6.2.2	no
ERR502309	lineage4.6.2.2	no
ERR502310	lineage4.6.2.2	no
ERR502311	lineage4.6.2.2	no
ERR502312	lineage4.6.2.2	no
ERR502313	lineage4.6.2.2	no
ERR502314	lineage4.6.2.2	no
ERR502315	lineage4.6.2.2	no
ERR502316	lineage4.6.2.2	no
ERR502317	lineage4.6.2.2	no
ERR502318	lineage4.6.2.2	no
ERR502319	lineage4.6.2.2	no
ERR502320	NA	NA
ERR502321	lineage4.6.2.2	no
ERR502322	lineage4.6.2.2	no
ERR502323	lineage4.6.2.2	no
ERR502324	lineage4.6.2.2	no
ERR502325	lineage4.6.2.2	no
ERR502326	lineage4.6.2.2	no
ERR502327	lineage4.6.2.2	no
ERR502328	NA	NA
ERR502329	lineage4.6.2.2	no
ERR502330	lineage4.6.2.2	no
ERR502331	lineage4.6.2.2	no
ERR502332	lineage4.6.2.2	no
ERR502333	lineage4.6.2.2	no
ERR502334	lineage4.6.2.2	no
ERR502335	lineage4.6.2.2	no
ERR502336	lineage4.6.2.2	no
ERR502337	lineage4.6.2.2	no
ERR502338	lineage4.6.2.2	no
ERR502339	lineage4.6.2.2	no
ERR502340	lineage4.6.2.2	no
ERR502341	lineage4.6.2.2	no
ERR502342	lineage4.6.2.2	no
ERR502343	lineage4.6.2.2	no
ERR502344	lineage4.6.2.2	no
ERR502345	lineage4.6.2.2	no
ERR502346	lineage4.6.2.2	no
ERR502347	lineage4.6.2.2	no
ERR502348	lineage4.6.2.2	no
ERR502349	lineage4.6.2.2	no
ERR502350	lineage4.6.2.2	no
ERR502351	lineage4.6.2.2	no
ERR502352	lineage4.6.2.2	no
ERR502353	lineage4.6.2.2	no
ERR502354	lineage4.6.2.2	no
ERR502355	lineage4.6.2.2	no
